nm,sc,mc,lc,rh,mel,v
789,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000008009130
790,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000007465700
791,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000006959570
792,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000006488000
793,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000006048700
794,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000005639400
795,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000005257800
796,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000004901770
797,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000004569720
798,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000004260190
799,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000003971740
800,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000003702900
801,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000003452160
802,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000003218300
803,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000003000300
804,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000002797140
805,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000002607800
806,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000002431220
807,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000002266530
808,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000002113010
809,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000001969940
810,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000001836600
811,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000001712230
812,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000001596230
813,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000001488090
814,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000001387310
815,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000001293400
816,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000001205820
817,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000001124140
818,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000001048010
819,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000977058
820,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000910930
821,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000849251
822,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000791721
823,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000738090
824,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000688110
825,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000641530
826,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000598090
827,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000557575
828,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000519808
829,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000484612
830,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000451810
